District,County,DistrictCode,Latitude,Longitude
"Aberdeen City","",S12000033,57.15,-2.1346
"Aberdeenshire","",S12000034,57.33,-2.34429
"Abertawe - Swansea","",W06000011,51.6399,-3.97932
"Adur District","West Sussex County",E07000223,50.8332,-0.290848
"Allerdale District (B)","Cumbria County",E07000026,54.7022,-3.36576
"Amber Valley District (B)","Derbyshire County",E07000032,53.0393,-1.42029
"Angus","",S12000041,56.6185,-2.75395
"Argyll and Bute","",S12000035,56.0291,-5.21842
"Arun District","West Sussex County",E07000224,50.8077,-0.596837
"Ashfield District","Nottinghamshire County",E07000170,53.0884,-1.25099
"Ashford District (B)","Kent County",E07000105,51.1349,0.832444
"Aylesbury Vale District","Buckinghamshire County",E07000004,51.8623,-0.853459
"Babergh District","Suffolk County",E07000200,52.04,0.90253
"Barking and Dagenham London Boro","",E09000002,51.5472,0.126733
"Barnet London Boro","",E09000003,51.6085,-0.205846
"Barnsley District (B)","",E08000016,53.5475,-1.45919
"Barrow-in-Furness District (B)","Cumbria County",E07000027,54.1276,-3.21436
"Basildon District (B)","Essex County",E07000066,51.5906,0.466419
"Basingstoke and Deane District (B)","Hampshire County",E07000084,51.2822,-1.14972
"Bassetlaw District","Nottinghamshire County",E07000171,53.333,-1.01773
"Bath and North East Somerset","",E06000022,51.3625,-2.42725
"Bedford (B)","",E06000055,52.1476,-0.4718
"Bexley London Boro","",E09000004,51.4598,0.135514
"Birmingham District (B)","",E08000025,52.4795,-1.88382
"Blaby District","Leicestershire County",E07000129,52.5902,-1.20127
"Blackburn with Darwen (B)","",E06000008,53.7266,-2.47625
"Blackpool (B)","",E06000009,53.8181,-3.03614
"Blaenau Gwent - Blaenau Gwent","",W06000019,51.7679,-3.19158
"Bolsover District","Derbyshire County",E07000033,53.2074,-1.27307
"Bolton District (B)","",E08000001,53.577,-2.44869
"Boston District (B)","Lincolnshire County",E07000136,52.9696,-0.028299
"Bournemouth (B)","",E06000028,50.7387,-1.86393
"Bracknell Forest (B)","",E06000036,51.403,-0.756202
"Bradford District (B)","",E08000032,53.8223,-1.8063
"Braintree District","Essex County",E07000067,51.8954,0.596385
"Breckland District","Norfolk County",E07000143,52.5846,0.869655
"Brent London Boro","",E09000005,51.5551,-0.259313
"Brentwood District (B)","Essex County",E07000068,51.632,0.317037
"Bro Morgannwg - the Vale of Glamorgan","",W06000014,51.4258,-3.30113
"Broadland District","Norfolk County",E07000144,52.6786,1.31758
"Bromley London Boro","",E09000006,51.3912,0.030218
"Bromsgrove District","Worcestershire County",E07000234,52.3588,-2.02853
"Broxbourne District (B)","Hertfordshire County",E07000095,51.7254,-0.03241
"Broxtowe District (B)","Nottinghamshire County",E07000172,52.9552,-1.25268
"Burnley District (B)","Lancashire County",E07000117,53.7919,-2.25145
"Bury District (B)","",E08000002,53.5777,-2.3048
"Caerdydd - Cardiff","",W06000015,51.4994,-3.18799
"Caerffili - Caerphilly","",W06000018,51.6466,-3.20548
"Calderdale District (B)","",E08000033,53.717,-1.90502
"Cambridge District (B)","Cambridgeshire County",E07000008,52.2054,0.135531
"Camden London Boro","",E09000007,51.536,-0.145818
"Cannock Chase District","Staffordshire County",E07000192,52.712,-1.98921
"Canterbury District (B)","Kent County",E07000106,51.3134,1.08857
"Carlisle District (B)","Cumbria County",E07000028,54.9094,-2.89619
"Casnewydd - Newport","",W06000022,51.5888,-2.99097
"Castell-nedd Port Talbot - Neath Port Talbot","",W06000012,51.662,-3.7853
"Castle Point District (B)","Essex County",E07000069,51.5452,0.583234
"Central Bedfordshire","",E06000056,51.9877,-0.456098
"Charnwood District (B)","Leicestershire County",E07000130,52.7358,-1.16842
"Chelmsford District (B)","Essex County",E07000070,51.7229,0.492411
"Cheltenham District (B)","Gloucestershire County",E07000078,51.898,-2.08386
"Cherwell District","Oxfordshire County",E07000177,51.9683,-1.2801
"Cheshire East (B)","",E06000049,53.1988,-2.3128
"Cheshire West and Chester (B)","",E06000050,53.2277,-2.76592
"Chesterfield District (B)","Derbyshire County",E07000034,53.2456,-1.42187
"Chichester District","West Sussex County",E07000225,50.8849,-0.767208
"Chiltern District","Buckinghamshire County",E07000005,51.6704,-0.614085
"Chorley District (B)","Lancashire County",E07000118,53.6593,-2.64259
"Christchurch District (B)","Dorset County",E07000048,50.7425,-1.75702
"City and County of the City of London","",E09000001,51.5147,-0.092017
"City of Bristol (B)","",E06000023,51.4603,-2.58859
"City of Derby (B)","",E06000015,52.9138,-1.47187
"City of Edinburgh","",S12000036,55.943,-3.21979
"City of Kingston upon Hull (B)","",E06000010,53.7606,-0.340305
"City of Leicester (B)","",E06000016,52.6354,-1.12535
"City of Nottingham (B)","",E06000018,52.9628,-1.17024
"City of Peterborough (B)","",E06000031,52.5868,-0.263775
"City of Plymouth (B)","",E06000026,50.3878,-4.12646
"City of Portsmouth (B)","",E06000044,50.8107,-1.07566
"City of Southampton (B)","",E06000045,50.9185,-1.39725
"City of Stoke-on-Trent (B)","",E06000021,53.0161,-2.16483
"City of Westminster London Boro","",E09000033,51.5137,-0.150648
"City of Wolverhampton District (B)","",E08000031,52.5879,-2.1204
"Clackmannanshire","",S12000005,56.1359,-3.77591
"Colchester District (B)","Essex County",E07000071,51.8791,0.885118
"Conwy - Conwy","",W06000003,53.2561,-3.74651
"Copeland District (B)","Cumbria County",E07000029,54.4694,-3.49844
"Corby District (B)","Northamptonshire County",E07000150,52.4898,-0.70283
"Cornwall","",E06000052,50.3305,-4.94677
"Cotswold District","Gloucestershire County",E07000079,51.8085,-1.88003
"County Durham","",E06000047,54.7522,-1.63142
"County of Herefordshire","",E06000019,52.0787,-2.69805
"Coventry District (B)","",E08000026,52.4138,-1.50822
"Craven District","North Yorkshire County",E07000163,54.0065,-2.13881
"Crawley District (B)","West Sussex County",E07000226,51.1152,-0.185527
"Croydon London Boro","",E09000008,51.3695,-0.090347
"Dacorum District (B)","Hertfordshire County",E07000096,51.762,-0.511058
"Darlington (B)","",E06000005,54.5312,-1.55077
"Dartford District (B)","Kent County",E07000107,51.4376,0.242638
