Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
*Blackfriars,Blackfriars,City of London,First Capital Connect,BFR,1,Thameslink,51.5116 ,-0.103,0,Blackfriars
*Cannon Street,Cannon Street,City of London,Network Rail,CST,1,South Eastern Main,51.5101 ,-0.0912,0,Cannon Street
*Charing Cross,Charing Cross,Westminster,Network Rail,CHX,1,South Eastern Main,51.5075 ,-0.1231,0,Charing Cross
*Euston,Euston Square,Camden,Network Rail,EUS,1,West Coast Main,51.5287 ,-0.1345,0,Euston
*Fenchurch Street,Fenchurch Street,City of London,Network Rail,FST,1,"L, T & S",51.5114 ,-0.0783,0,Fenchurch
*King's Cross,Kings Cross,Camden,Network Rail,KGX,1,East Coast Main,51.5324 ,-0.1233,0,King's Cross
*Liverpool Street,Bishopsgate,City of London,Network Rail,LST,1,Great Eastern Main,51.5185 ,-0.0819,0,Liverpool Street
*Marylebone,Marylebone,Westminster,Chiltern Main,MYB,1,Chiltern Main,51.5231 ,-0.163,0,Marylebone
*Paddington,Paddington,Westminster,Network Rail,PAD,1,Great Western M,51.5171 ,-0.1769,0,Paddington
*St Pancras International,St Pancras,Camden,Network Rail(Domestic) ,STP,1,Midland M,51.5314 ,-0.1261,0,St Pancras International
*St Pancras International,St Pancras,Camden,London and Continental Railways(International),STP,1,High Speed 1,51.5314 ,-0.1261,0,St Pancras International
*Victoria,Pimlico,Westminster,Network Rail,VIC,1,Brighton M and Ch'm M,51.4966 ,-0.1448,0,Victoria
*Waterloo,South Bank,Lambeth,Network Rail,WAT,1,South Western M,51.5031 ,-0.1132,0,Waterloo
*Waterloo East,South Bank,Lambeth,Southeastern,WAE,1,Southeastern Main,51.5041 ,-0.1101,0,Waterloo East
Abbey Wood,Abbey Wood,Greenwich,Southeastern,ABW,4,North Kent,51.4915 ,0.1229,,
Acton Central,Acton,Ealing,London Overground,ACC,2,North London,51.5088 ,-0.2634,,
Acton Main Line,Acton,Ealing,First Great Western,AML,3,Great Western M,51.5169 ,-0.2669,,
Albany Park,Albany Park,Bexley,Southeastern,AYP,5,Dartford Loop,51.4358 ,0.1266,,
Alexandra Palace,Alexandra Palace,Haringey,First Capital Connect,AAP,3,East Coast Main,51.5983 ,-0.1197,,
Amersham,Amersham,Chiltern,London Underground,AMR,D,London to Aylesbury,51.6747 ,-0.6088,,
Anerley,Anerley,Bromley,Southern,ANZ,4,Brighton Main,51.4125 ,-0.0651,,
Angel Road,Enfield,Enfield,National Express East Anglia,AGR,4,Lea Valley,51.6118 ,-0.0495,,
Balham,Balham,Wandsworth,Southern,BAL,3,South London,51.4426 ,-0.152,,
Barking,Barking,Barking and Dagenham,c2c,BKG,4,"L, T & S",51.5393 ,0.0817,,
Barnehurst,Barnehurst,Bexley,Southeastern,BNH,6,Bexleyheath,51.4648 ,0.1595,,
Barnes,Barnes,Richmond,South West Trains,BNS,3,Waterloo to Reading,51.4671 ,-0.242,19,Waterloo
Barnes Bridge,Barnes,Richmond,South West Trains,BNI,3,Hounslow Loop,51.4722 ,-0.2523,25,Waterloo
Battersea Park,Battersea Park,Wandsworth,Southern,BAK,2,South London,51.4779 ,-0.1477,,
Beckenham Hill,Beckenham Hill,Lewisham,Southeastern,BEC,4,Catford Loop,51.4246 ,-0.0161,,
Beckenham Junction,Beckenham,Bromley,Southeastern,BKJ,4,Chatham Main,51.4109 ,-0.0257,,
Bellingham,Bellingham,Lewisham,Southeastern,BGM,3,Catford Loop,51.4342 ,-0.0199,,
Belmont,Belmont,Sutton,Southern,BLM,5,Sutton & Mole Valley,51.344 ,-0.1986,,
Belvedere,Belvedere,Bexley,Southeastern,BVD,5,North Kent,51.4927 ,0.1524,,
Berrylands,Berrylands,Kingston,South West Trains,BRS,5,South Western M,51.3988 ,-0.2803,27,Waterloo
Bethnal Green,Bethnal Green,Tower Hamlets,National Express East Anglia,BET,2,West Anglia Main,51.523 ,-0.0595,,
Bexley,Bexley,Bexley,Southeastern,BXY,6,Dartford Loop,51.4403 ,0.1479,,
Bexleyheath,Bexleyheath,Bexley,Southeastern,BXH,5,Bexleyheath,51.4635 ,0.1338,,
Bickley,Bickley,Bromley,Southeastern,BKL,5,Chatham Main,51.3995 ,0.0441,,
Birkbeck,Birkbeck,Bromley,Southern,BIK,4,Beck J to C Palace,51.4039 ,-0.0568,,
Blackheath,Blackheath,Lewisham,Southeastern,BKH,3,North Kent,51.4663 ,0.0064,,
Blackhorse Road,Walthamstow,Waltham Forest,London Underground,BHO,3,Gospel Oak to Barking,51.5866 ,-0.0416,,
Bowes Park,Bowes Park,Haringey,First Capital Connect,BOP,3,Hertford Loop,51.6078 ,-0.1209,,
